n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.999999999999999,0.13999999999999999
3,1.0299999999999994,0.23748684174075832
4,1.0400000000000007,0.2712931993250108
5,1.070000000000001,0.3249615361854383
6,1.0999999999999992,0.3666060555964673
7,1.15,0.4142463035441595
8,1.2200000000000013,0.4582575694955842
9,1.2499999999999982,0.4737087712930805
10,1.2999999999999992,0.5291502622129184
11,1.3300000000000003,0.5713142742834278
12,1.4600000000000002,0.5688585061331154
13,1.55,0.5455272678794342
14,1.6199999999999997,0.5122499389946281
15,1.6499999999999995,0.4898979485566358
16,1.680000000000002,0.5043808085167396
17,1.7299999999999989,0.49999999999999994
18,1.799999999999998,0.4686149805543995
19,1.7900000000000014,0.46861498055439893
20,1.8199999999999983,0.4237924020083417
21,1.8300000000000014,0.4454211490264017
22,1.8800000000000008,0.4999999999999998
23,1.9099999999999995,0.4903060268852506
24,1.9400000000000015,0.4770744176750627
25,1.95,0.4898979485566355
26,1.9799999999999986,0.5122499389946278
28,2.039999999999999,0.6144916598294886
29,2.069999999999998,0.5919459434779496
30,2.080000000000002,0.5963220606350229
32,2.160000000000003,0.6400000000000002
33,2.1500000000000012,0.64
35,2.230000000000002,0.6352952069707435
36,2.24,0.6324555320336758
38,2.2600000000000016,0.6248199740725321
40,2.3199999999999976,0.6337191807101945
42,2.3799999999999986,0.6324555320336758
44,2.540000000000002,0.6161168720299743
46,2.5800000000000027,0.5986651818838304
48,2.5599999999999987,0.5986651818838306
51,2.5699999999999985,0.5946427498927399
53,2.5699999999999994,0.6082762530298219
56,2.5799999999999987,0.6327716807822553
58,2.7000000000000006,0.7222188034107119
61,2.7299999999999995,0.7378346698278689
64,2.780000000000001,0.7236021006050218
67,2.81,0.6997142273814358
70,2.8199999999999994,0.6997142273814357
74,2.9600000000000004,0.7000000000000002
77,2.97,0.6873136110975833
81,2.9899999999999984,0.7483314773547879
85,3.050000000000003,0.7549834435270751
89,3.0500000000000025,0.7592101158440925
93,3.109999999999996,0.7735631842325488
97,3.130000000000001,0.7810249675906655
100,3.18,0.7922120928135343
102,3.2599999999999985,0.7493997598078078
107,3.330000000000004,0.7211102550927979
112,3.2999999999999976,0.6954135460285481
117,3.430000000000003,0.7211102550927978
123,3.5500000000000016,0.7820485918406863
128,3.619999999999999,0.8062257748298552
135,3.6700000000000035,0.8364209466530592
141,3.7100000000000026,0.8634813257969165
148,3.7000000000000015,0.8170679286326191
155,3.809999999999998,0.8187795796183495
162,3.859999999999997,0.7277362159464097
170,4.020000000000003,0.8009993757800314
178,4.06,0.7578918128598571
186,4.219999999999995,0.7959899496852959
195,4.370000000000004,0.8109253973085319
200,4.44,0.8522910301065008
204,4.460000000000002,0.8774964387392121
214,4.580000000000005,0.7756287771866122
224,4.699999999999997,0.8345058418010024
235,4.690000000000004,0.915641851380768
