n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.999999999999999,0.13999999999999999
3,0.9899999999999993,0.13999999999999996
4,1.0200000000000007,0.2374868417407583
5,1.010000000000001,0.23748684174075826
6,1.0799999999999992,0.3469870314579493
7,1.0699999999999998,0.3469870314579492
8,1.160000000000001,0.42708313008125265
9,1.2299999999999982,0.466476151587624
10,1.2999999999999992,0.4898979485566358
11,1.3700000000000003,0.4995998398718715
12,1.4400000000000006,0.4963869458396344
13,1.4899999999999998,0.48538644398046393
14,1.5399999999999998,0.466476151587624
15,1.55,0.45825756949558394
16,1.580000000000002,0.43863424398922607
17,1.6499999999999988,0.47707441767506265
18,1.6799999999999984,0.44766058571198786
19,1.690000000000001,0.43081318457076045
20,1.7999999999999983,0.44721359549995787
21,1.8100000000000014,0.4237924020083418
22,1.8800000000000008,0.41231056256176585
23,1.9099999999999995,0.44766058571198786
24,1.9200000000000015,0.46303347611160905
25,1.97,0.4142463035441595
26,1.9799999999999986,0.42708313008125237
28,1.959999999999999,0.42708313008125237
29,1.989999999999998,0.44899888641287283
30,2.020000000000002,0.46647615158762407
32,2.0200000000000027,0.4737087712930806
33,2.0300000000000016,0.48
35,2.1300000000000017,0.5381449618829485
36,2.14,0.5744562646538028
38,2.1800000000000015,0.6053098380168623
40,2.259999999999998,0.5868560300448482
42,2.2799999999999985,0.574456264653803
44,2.3400000000000016,0.6415605972938178
46,2.3800000000000026,0.6118823416311342
48,2.419999999999999,0.574456264653803
51,2.4899999999999984,0.6
53,2.5299999999999994,0.5799999999999998
56,2.5599999999999987,0.6209669878504008
58,2.600000000000001,0.6225752966509353
61,2.63,0.5851495535331118
64,2.7600000000000007,0.632455532033676
67,2.79,0.6390618123468184
70,2.8399999999999994,0.6696267617113283
74,2.8400000000000007,0.6660330322138683
77,2.85,0.6600000000000001
81,2.9699999999999984,0.6415605972938175
85,2.9500000000000024,0.66332495807108
89,2.9500000000000015,0.6437390775772436
93,3.0099999999999967,0.6135144660071188
97,3.0700000000000007,0.6621178142898738
100,3.14,0.6003332407921456
102,3.139999999999999,0.6118823416311339
107,3.1900000000000035,0.6264183905346332
112,3.2799999999999976,0.6633249580710799
117,3.330000000000002,0.6708203932499369
123,3.310000000000001,0.6390618123468184
128,3.4199999999999995,0.6403124237432848
135,3.490000000000003,0.7310266752998829
141,3.5100000000000025,0.7704544113703289
148,3.580000000000002,0.8101851640211634
155,3.589999999999998,0.7748548251124205
162,3.7199999999999975,0.8627861844049197
170,3.8200000000000016,0.8772684879784524
178,3.9599999999999995,0.8674099376880574
186,4.039999999999996,0.8306623862918073
195,4.130000000000003,0.9558242516278814
200,4.24,1.0111379727811631
204,4.240000000000001,1.0205880657738464
214,4.420000000000004,0.9830564581955606
224,4.439999999999997,0.9474175425861608
235,4.490000000000004,0.8569714114251419
