n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,0.9899999999999993,0.13999999999999999
4,1.0000000000000007,0.19595917942265423
5,1.050000000000001,0.3
6,1.0399999999999994,0.2999999999999999
7,1.0699999999999998,0.3469870314579494
8,1.0600000000000012,0.34698703145794957
9,1.1499999999999984,0.4270831300812522
10,1.259999999999999,0.48
11,1.3500000000000003,0.5370288632839021
12,1.3600000000000008,0.5381449618829482
13,1.4299999999999997,0.5351635264103861
14,1.5399999999999998,0.5075431016179807
15,1.6099999999999997,0.471593044902064
16,1.660000000000002,0.4331281565541542
17,1.7099999999999989,0.4308131845707603
18,1.7399999999999982,0.3919183588453084
19,1.7900000000000011,0.31559467676119
20,1.7999999999999983,0.3464101615137754
21,1.8100000000000014,0.37363083384538803
22,1.800000000000001,0.37363083384538803
23,1.87,0.412310562561766
24,1.9000000000000012,0.4004996878900157
25,1.91,0.36660605559646714
26,1.8999999999999988,0.3666060555964673
28,1.959999999999999,0.42708313008125237
29,1.9899999999999982,0.44899888641287306
30,2.0000000000000018,0.4582575694955842
32,2.0200000000000022,0.47370877129308064
33,2.0100000000000016,0.47370877129308037
35,2.0900000000000016,0.5351635264103861
36,2.1,0.5730619512757763
38,2.140000000000001,0.6400000000000001
40,2.139999999999999,0.6390618123468182
42,2.1999999999999984,0.6289674077406555
44,2.2400000000000015,0.6144916598294888
46,2.340000000000002,0.565685424949238
48,2.379999999999999,0.5295280917949492
51,2.4499999999999984,0.5276362383309166
53,2.5099999999999993,0.5986651818838306
56,2.5599999999999987,0.6209669878504007
58,2.640000000000001,0.5758472019555189
61,2.7099999999999995,0.6462197768561404
64,2.7200000000000006,0.6858571279792897
67,2.7899999999999996,0.78
70,2.8599999999999994,0.7525955088890712
74,2.860000000000001,0.7483314773547886
77,2.99,0.7088018058667743
81,3.0499999999999985,0.7485986908885157
85,3.150000000000003,0.7483314773547884
89,3.2900000000000027,0.7665507158694723
93,3.289999999999996,0.7291090453423276
97,3.3700000000000006,0.7901898506055366
100,3.46,0.8991106717195609
102,3.459999999999998,0.8772684879784526
107,3.530000000000004,0.8000000000000004
112,3.559999999999998,0.7600000000000005
117,3.5500000000000025,0.8726969691708576
123,3.5500000000000016,0.8553361912137241
128,3.7199999999999993,0.8717797887081347
135,3.7300000000000035,0.9130169768410662
141,3.7700000000000022,0.9526804291051644
148,3.900000000000002,0.9357350052231668
155,4.049999999999997,0.9797958971132714
162,4.099999999999997,0.96
170,4.220000000000003,0.934665715643834
178,4.34,0.8634813257969162
186,4.379999999999995,0.9499473669630336
195,4.450000000000004,0.9797958971132712
200,4.5,0.9848857801796105
204,4.500000000000002,1.0041912168506553
214,4.560000000000006,1.004987562112089
224,4.639999999999997,1.0127191120937733
235,4.770000000000004,1.0888526071052962
246,4.799999999999998,1.0919706955774957
258,4.879999999999995,1.2034949106664306
270,4.980000000000005,1.2073110618229255
283,5.0899999999999945,1.2464349160706303
296,5.119999999999997,1.1634431657799191
300,5.18,1.211445417672625
310,5.280000000000004,1.2944496900227525
325,5.41,1.142103322821539
340,5.599999999999998,1.1832159566199232
357,5.750000000000004,1.1906300852909772
373,5.790000000000001,1.3891004283348267
391,5.79,1.3892443989449808
400,5.8,1.3416407864998738
410,5.88,1.4627371602581234
429,6.009999999999999,1.5264337522473748
450,6.16,1.531143363633856
471,6.270000000000001,1.435130656072819
493,6.449999999999996,1.4267445461609436
500,6.46,1.4171802990445506
517,6.410000000000001,1.4978651474682225
541,6.489999999999997,1.4317821063276355
567,6.3900000000000015,1.4478950238190615
594,6.340000000000001,1.45657131648265
600,6.3,1.5
622,6.299999999999995,1.499866660740214
651,6.230000000000005,1.453409783921933
682,6.280000000000005,1.6155494421403511
700,6.26,1.5723867208800764
714,6.300000000000008,1.6511813952440235
748,6.399999999999999,1.632666530556684
784,6.5000000000000036,1.7505427729707146
800,6.58,1.7330897264711944
821,6.690000000000001,1.6881943016134133
860,6.679999999999996,1.7668050260286217
900,6.7,1.7233687939614082
901,6.710000000000004,1.7092688495377197
943,6.809999999999995,1.6438978070427612
988,6.820000000000004,1.7578395831246951
1000,6.82,1.751456536714514
1035,6.689999999999998,1.8325937902328493
1084,6.680000000000003,1.664211525017178
1100,6.62,1.7075128110793194
1135,6.4099999999999975,1.7385051049680587
1189,6.450000000000006,1.6322989922192561
1200,6.44,1.7568153004798202
1245,6.390000000000006,1.7928747864811976
1300,6.36,1.7292773056973834
1304,6.400000000000001,1.7338973441354595
1366,6.399999999999998,1.5926079241294766
1400,6.62,1.560640893991952
1431,6.709999999999999,1.64304595188327
1499,7.049999999999995,1.5742934923323542
1500,7.04,1.5742934923323537
1570,6.960000000000005,1.5698407562552328
1600,6.92,1.6228370220080641
1644,6.840000000000001,1.5753094934012175
1700,6.7,1.6278820596099706
1722,6.679999999999995,1.5905973720586863
1800,6.64,1.4664242223858683
1804,6.64,1.4756693396557377
1889,6.690000000000008,1.4572576985557493
1900,6.74,1.4671059948074647
1979,6.869999999999999,1.365430335095863
2000,6.94,1.3177253128023307
2072,6.659999999999996,1.34
2100,6.68,1.3181805642627271
2171,6.63,1.3654303350958628
2200,6.58,1.2343419299367577
2273,6.409999999999999,1.0772186407596183
2300,6.46,1.0809255293497326
2381,6.409999999999999,1.11874930167576
2400,6.38,1.12942463227964
2494,6.760000000000002,1.4035668847618206
2500,6.7,1.40356688476182
2600,6.64,1.42492105044455
2612,6.599999999999997,1.5104966070799368
2700,6.32,1.420422472365177
2736,6.439999999999992,1.2489995996796799
2800,6.32,1.2237646832622688
2866,6.299999999999998,1.1482160075525862
2900,6.44,1.3440238093129155
3000,6.86,1.4423591785682228
3001,6.870000000000004,1.4372195378577348
3100,6.66,1.3799999999999997
3144,6.560000000000001,1.469693845669907
3200,6.52,1.4176036117335478
3292,6.539999999999989,1.3447676379211393
3300,6.54,1.3886684269471963
