n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,0.9699999999999993,6.661338147750939e-16
4,0.9800000000000008,0.1400000000000001
5,1.050000000000001,0.2999999999999998
6,1.0599999999999994,0.3249615361854386
7,1.1099999999999999,0.3841874542459709
8,1.1200000000000012,0.39999999999999974
9,1.1499999999999986,0.4715930449020637
10,1.199999999999999,0.5000000000000002
11,1.2300000000000004,0.5141984052872977
12,1.300000000000001,0.532541078227774
13,1.3899999999999995,0.5381449618829486
14,1.3999999999999997,0.5370288632839021
15,1.47,0.5617828762075258
16,1.580000000000002,0.5219195340279954
17,1.6499999999999988,0.5173006862551027
18,1.6999999999999986,0.4749736834815166
19,1.730000000000001,0.5230678732248807
20,1.7999999999999985,0.44721359549995787
21,1.8700000000000014,0.48332183894378306
22,1.9000000000000008,0.47497368348151664
23,1.8899999999999997,0.4749736834815168
24,1.920000000000001,0.5043808085167398
25,1.93,0.5546169849544818
26,1.9199999999999988,0.5546169849544821
28,1.919999999999999,0.5291502622129179
29,1.9099999999999986,0.5291502622129182
30,1.9000000000000015,0.5291502622129183
32,1.960000000000002,0.5306599664568642
33,1.9900000000000013,0.5810335618533581
35,2.0700000000000016,0.6352952069707435
36,2.1,0.6390618123468184
38,2.180000000000001,0.697423830966508
40,2.2199999999999984,0.6896375859826668
42,2.1999999999999984,0.6896375859826668
44,2.2800000000000016,0.6645299090334459
46,2.260000000000002,0.6645299090334459
48,2.2799999999999994,0.649923072370877
51,2.4499999999999984,0.63118935352238
53,2.5099999999999993,0.6311893535223799
56,2.5999999999999988,0.5782732917920383
58,2.640000000000001,0.609590026165127
61,2.7899999999999996,0.6928203230275509
64,2.7800000000000007,0.6954135460285484
67,2.83,0.7
70,2.8399999999999994,0.7269112738154498
74,2.860000000000001,0.7211102550927981
77,2.9100000000000006,0.7332121111929347
81,3.0499999999999985,0.7748548251124202
85,3.110000000000003,0.8708616422830897
89,3.130000000000002,0.8600000000000002
93,3.249999999999996,0.9097252332435328
97,3.2900000000000005,0.8901685233707155
100,3.36,0.8428523002282191
102,3.439999999999998,0.8534635317340749
107,3.470000000000004,0.7800000000000001
112,3.499999999999998,0.7453858061433689
117,3.630000000000003,0.7483314773547883
123,3.6500000000000017,0.7652450587883595
128,3.6799999999999993,0.7735631842325486
135,3.7100000000000035,0.7323933369440222
141,3.8100000000000027,0.6720119046564577
148,3.900000000000002,0.7717512552629893
155,3.929999999999997,0.7807688518377252
162,3.9599999999999973,0.7769169839822013
170,4.100000000000003,0.8485281374238569
178,4.159999999999999,0.8581375181169971
186,4.219999999999995,0.8908422980528035
195,4.230000000000003,0.9097252332435332
200,4.22,0.9008884503644167
204,4.240000000000002,0.8726969691708572
214,4.260000000000004,0.8717797887081347
224,4.379999999999997,1.0562196741208714
235,4.390000000000003,1.1280070921762861
246,4.539999999999997,1.232882800593795
258,4.7599999999999945,1.2901162738296108
270,4.780000000000005,1.2687001221722962
283,4.969999999999994,1.2328828005937953
296,5.119999999999997,1.197330363767661
300,5.24,1.2737346662472524
310,5.240000000000004,1.2901162738296108
325,5.29,1.2839003076563227
340,5.359999999999997,1.257934815481311
357,5.510000000000004,1.2464349160706305
373,5.530000000000004,1.1968291440301742
391,5.590000000000001,1.2529964086141665
400,5.62,1.3249905660041505
410,5.660000000000002,1.2893409169028962
429,5.81,1.2688577540449522
450,5.98,1.3302631318652716
471,6.010000000000002,1.2655433615645098
493,6.189999999999995,1.3212115651930998
500,6.2,1.3416407864998738
517,6.310000000000001,1.3600000000000003
541,6.589999999999996,1.4
567,6.750000000000001,1.3577923257994942
594,6.920000000000001,1.34178984941756
600,6.92,1.3392535234226568
622,6.999999999999993,1.3753544997563363
651,7.190000000000006,1.3747727084867523
682,7.340000000000006,1.3469966592386187
700,7.34,1.3944174410842687
714,7.420000000000009,1.4582180906846542
748,7.459999999999996,1.3915459029439166
784,7.500000000000005,1.3507035203922433
800,7.64,1.3230268326832981
821,7.690000000000002,1.252996408614167
860,7.7999999999999945,1.3564659966250538
900,7.86,1.6001249951175684
901,7.850000000000006,1.600124995117569
943,8.209999999999994,1.69422548676379
988,8.640000000000004,1.699882348870062
1000,8.66,1.680595132683657
1035,8.769999999999992,1.7508854902591426
1084,8.88000000000001,1.6618062462272785
1100,9.0,1.697056274847714
1135,9.009999999999993,1.6218507946170635
1189,9.29000000000001,1.5708596372687156
1200,9.44,1.6511813952440233
1245,9.530000000000008,1.6551737068960473
1300,9.64,1.8413038858374253
1304,9.699999999999994,1.8847811544049347
1366,10.019999999999989,1.9538679586911698
1400,10.14,2.097713040432365
1431,10.329999999999998,1.9365949499056336
1499,10.409999999999995,1.788854381999831
1500,10.42,1.7898603297464304
1570,10.560000000000008,1.8309560344257307
1600,10.64,1.8948350851723232
1644,10.859999999999998,1.9000000000000001
1700,10.88,1.9661129163911217
1722,10.879999999999987,1.9416487838947603
1800,11.3,2.202271554554524
1804,11.259999999999998,2.202271554554525
1889,11.530000000000008,2.209886874932742
1900,11.56,2.255304857441672
1979,11.769999999999998,2.442621542523524
2000,11.76,2.387969849055888
2072,11.879999999999987,2.3409399821439245
2100,12.04,2.440983408382778
2171,12.090000000000002,2.4083189157584592
2200,12.16,2.411306699696246
2273,12.409999999999991,2.4084019598065436
2300,12.6,2.3916521486202797
2381,12.73000000000001,2.3255966976240745
2400,12.92,2.3051247254758254
2494,12.93999999999999,2.4383601046605072
2500,12.96,2.4245411937106787
2600,13.06,2.386713221147443
2612,13.059999999999997,2.363810483097154
2700,13.18,2.4223129442745424
2736,13.159999999999991,2.6018454988719064
2800,13.4,2.5377155080899043
2866,13.519999999999998,2.5509998039984247
2900,13.52,2.578681833805791
3000,13.56,2.6165626306282066
3001,13.590000000000007,2.6532998322843198
3100,13.94,2.5330613889126337
3144,13.959999999999987,2.4819347291981715
3200,14.0,2.4657656011875906
