n,mean_gap,std_gap
1,0.9900000000000003,3.3306690738754696e-16
2,0.9799999999999991,8.881784197001252e-16
3,0.9699999999999993,6.661338147750939e-16
4,1.0000000000000007,0.19595917942265423
5,1.0100000000000007,0.23748684174075826
6,1.0999999999999992,0.3666060555964673
7,1.15,0.4142463035441596
8,1.2800000000000011,0.47999999999999976
9,1.329999999999998,0.4935585071701229
10,1.3999999999999997,0.5385164807134505
11,1.4100000000000004,0.5381449618829484
12,1.5,0.5617828762075252
13,1.51,0.5571355310873646
14,1.4999999999999998,0.5571355310873646
15,1.5699999999999996,0.5306599664568641
16,1.640000000000002,0.5656854249492379
17,1.7099999999999986,0.5528109984434102
18,1.7799999999999983,0.5276362383309166
19,1.8300000000000012,0.5095095681142802
20,1.8199999999999983,0.5095095681142795
21,1.8500000000000014,0.5063595560468868
22,1.8600000000000008,0.4833218389437827
23,1.87,0.45825756949558394
24,1.920000000000001,0.5043808085167398
25,1.93,0.5173006862551023
26,1.9599999999999986,0.5400000000000001
28,2.039999999999999,0.5075431016179807
29,2.049999999999998,0.47370877129308053
30,2.060000000000002,0.48000000000000015
32,2.1000000000000028,0.568858506133116
33,2.110000000000001,0.5713142742834282
35,2.2100000000000017,0.5713142742834281
36,2.22,0.5688585061331155
38,2.2600000000000016,0.5919459434779495
40,2.3599999999999977,0.5851495535331116
42,2.4199999999999986,0.6118823416311342
44,2.4600000000000013,0.6403124237432848
46,2.5200000000000027,0.5827520913733385
48,2.5799999999999987,0.58
51,2.649999999999998,0.6740919818541087
53,2.6299999999999994,0.6740919818541087
56,2.659999999999999,0.6720119046564575
58,2.6600000000000006,0.649923072370877
61,2.7699999999999996,0.745385806143369
64,2.8000000000000007,0.7787168933572713
67,2.93,0.7745966692414833
70,2.98,0.7054076835419358
74,3.0200000000000005,0.7088018058667739
77,3.07,0.7310266752998829
81,3.089999999999998,0.7549834435270749
85,3.090000000000003,0.7592101158440925
89,3.210000000000002,0.7810249675906656
93,3.209999999999996,0.7748548251124209
97,3.2500000000000004,0.7011419257183242
100,3.22,0.7011419257183242
102,3.1999999999999993,0.7011419257183242
107,3.210000000000004,0.6939740629158988
112,3.4199999999999977,0.6988562083862458
117,3.4500000000000015,0.6896375859826666
123,3.510000000000001,0.6575712889109434
128,3.5599999999999996,0.7838367176906172
135,3.6900000000000035,0.8236504112789602
141,3.8300000000000023,0.7631513611335564
148,3.9000000000000017,0.8219489035213804
155,3.989999999999997,0.8765842800324449
162,4.039999999999997,0.9079647570252934
170,4.080000000000003,0.9008884503644164
178,4.18,0.9372299611087986
186,4.2599999999999945,0.9516301802696256
195,4.350000000000004,0.9643650760992958
200,4.42,0.9610411021387172
204,4.500000000000002,0.8991106717195609
214,4.500000000000005,0.8662563131083086
224,4.779999999999997,1.0293687385966215
235,4.790000000000004,1.039422916814903
246,4.859999999999998,1.190630085290977
258,5.039999999999995,1.1643023662262306
270,5.1200000000000045,1.1435033887138246
283,5.089999999999994,1.1461239025515517
296,5.299999999999998,1.1456002793295748
300,5.3,1.1000000000000005
310,5.320000000000002,1.0599999999999998
325,5.39,1.0725670142233537
340,5.619999999999999,1.2245815611873305
357,5.730000000000005,1.284523257866513
373,5.990000000000001,1.2335315156087416
391,6.229999999999998,1.2167168939404105
400,6.24,1.2579348154813106
410,6.219999999999999,1.2718490476467716
429,6.429999999999999,1.2655433615645106
450,6.56,1.3477388471065155
471,6.5900000000000025,1.4177446878757822
493,6.729999999999995,1.3944174410842687
500,6.7,1.4177446878757824
517,6.710000000000001,1.4091131963046828
541,6.809999999999995,1.446236495183274
567,6.790000000000001,1.3741906709041516
594,7.040000000000001,1.3340164916521833
600,7.02,1.34892549831338
622,7.119999999999993,1.3207573584879246
651,7.470000000000006,1.240806189539688
682,7.620000000000005,1.283121194587635
700,7.76,1.3047605144240073
714,7.7200000000000095,1.3712767773137555
748,7.899999999999995,1.3695254652615991
784,7.980000000000007,1.2757742747053649
800,8.0,1.2165525060596438
821,8.050000000000004,1.245953450173802
860,8.179999999999994,1.3753544997563352
900,8.36,1.2768711759609888
901,8.350000000000005,1.2768711759609892
943,8.449999999999994,1.290581264392134
988,8.660000000000004,1.2682271089990151
1000,8.72,1.200666481584291
1035,8.649999999999993,1.296148139681572
1084,8.380000000000008,1.3159027319676784
1100,8.34,1.3358143583597233
1135,8.189999999999994,1.3886684269471958
1189,8.170000000000009,1.4887578715157146
1200,8.16,1.5014659503298766
1245,8.070000000000007,1.4729562111617578
1300,7.9,1.4730919862656238
1304,7.919999999999998,1.469149413776557
1366,7.859999999999993,1.5263027222671128
1400,7.88,1.4372195378577344
1431,7.809999999999999,1.4510685717773646
1499,8.109999999999994,1.5524174696260027
1500,8.12,1.5315351775261317
1570,8.600000000000007,1.5394804318340651
1600,8.98,1.5555063484280611
1644,9.420000000000002,1.6001249951175691
1700,9.8,1.7549928774784251
1722,9.959999999999988,1.8835073665903195
1800,10.54,2.137381575666825
1804,10.539999999999994,2.145600149142426
1889,11.45000000000001,1.9246817918814525
1900,11.42,1.9296631830451656
1979,12.47,2.2073513539987237
2000,12.48,2.2292599668948436
2072,12.359999999999983,2.0672687295076075
2100,12.22,2.06194083329275
2171,11.99,2.1283796653792764
2200,11.74,2.1615735009478625
2273,11.78999999999999,2.1747643550509097
2300,11.66,2.214587997800042
2381,11.270000000000005,2.152579847531794
2400,11.32,2.158147353634593
2494,11.039999999999997,2.083170660315664
2500,11.0,2.1260291625469296
2600,10.98,2.02474689776278
2612,10.939999999999998,2.014050644844861
2700,10.96,2.029384143034531
2736,11.01999999999999,2.1155613912151074
2800,11.18,2.295125268912353
2866,11.399999999999991,2.444667666575562
2900,11.54,2.426602563255878
3000,12.18,2.511493579525937
3001,12.170000000000007,2.5114935795259354
3100,11.84,2.460569039876752
3144,11.619999999999994,2.4528350943347164
3200,11.46,2.4512037858978593
3292,11.179999999999993,2.3769728648009414
3300,11.14,2.3749526311065665
